iter	Passed	Remaining
921	4570	386
922	4574	381
923	4578	376
924	4582	371
925	4586	366
926	4590	361
927	4594	356
928	4599	351
929	4603	346
930	4607	341
931	4612	336
932	4616	331
933	4620	326
934	4624	321
935	4629	316
936	4633	311
937	4637	306
938	4641	301
939	4645	296
940	4650	291
941	4654	286
942	4658	281
943	4663	276
944	4667	271
945	4671	266
946	4676	261
947	4680	256
948	4684	251
949	4688	246
950	4693	241
951	4697	236
952	4701	231
953	4705	226
954	4709	221
955	4713	216
956	4718	211
957	4722	207
958	4726	202
959	4731	197
960	4735	192
961	4739	187
962	4744	182
963	4748	177
964	4752	172
965	4756	167
966	4760	162
967	4765	157
968	4769	152
969	4773	147
970	4777	142
971	4782	137
972	4786	132
973	4790	127
974	4795	122
975	4799	118
976	4803	113
977	4808	108
978	4812	103
979	4817	98
980	4821	93
981	4825	88
982	4830	83
983	4834	78
984	4838	73
985	4842	68
986	4847	63
987	4851	58
988	4855	54
989	4860	49
990	4864	44
991	4868	39
992	4872	34
993	4876	29
994	4881	24
995	4885	19
996	4889	14
997	4893	9
998	4897	4
999	4902	0
